iso3,year,pop,pop_15_64_pct,pop_65_plus_pct,IMR,urban,LA,PSR
COL,1990,32440069.0,60.2080171316531,3.92438135572987,29.6,69.481,1109500.0,15.342040355926471
COL,1995,35804662.0,61.3920044631059,4.20179494779486,25.3,71.777,1109500.0,14.610899681176726
COL,2000,39089934.0,62.9670006605793,4.55122154977289,21.6,73.957,1109500.0,13.835186877184965
COL,2005,42128977.0,64.6275282212526,4.98930462992254,18.8,76.024,1109500.0,12.953213526722651
COL,2010,44777319.0,66.6986616594888,5.84187164041688,16.3,77.964,1109500.0,11.417344605457496
COM,1990,444596.0,48.9802551302136,4.05952363547621,93.5,27.869,1861.0,12.065517910075643
COM,1995,490586.0,47.9596849482048,4.17154178879952,77.6,28.301,1861.0,11.496872709504023
COM,2000,536080.0,48.8087121406433,4.18342801767275,64.8,28.08,1861.0,11.66715715782668
COM,2005,592677.0,50.900743575337,4.06967032633289,54.6,27.875,1861.0,12.507338308457724
COM,2010,654836.0,54.1829557324277,4.20540410117953,47.0,27.973,1861.0,12.884125860159427
CPV,1990,375428.0,49.5951958894969,4.67159525715283,42.1,44.12,4030.0,10.616329788750448
CPV,1995,418104.0,50.7077776010543,4.6904541807132,41.8,48.768,4030.0,10.810845953801431
CPV,2000,453317.0,53.3692169395622,4.84880905766929,29.4,53.435,4030.0,11.00666499852142
CPV,2005,485115.0,57.9805221643093,5.08621142800014,23.9,57.689,4030.0,11.39955013374401
CPV,2010,509784.0,62.9037367750491,4.90795620502389,23.8,61.821,4030.0,12.816686650679458
CRI,1990,3121706.0,59.5223413095275,4.51038630799954,14.4,50.003,51060.0,13.196728006193116
CRI,1995,3535176.0,60.8567861967834,5.02458717755495,12.7,54.561,51060.0,12.111798252527755
CRI,2000,3937739.0,63.3093254784027,5.56966827918255,11.2,59.052,51060.0,11.366803605706746
CRI,2005,4261240.0,65.9298232439384,6.36375796716449,9.7,65.672,51060.0,10.360202821056513
CRI,2010,4555962.0,67.7790991233026,7.37013390366294,9.0,71.736,51060.0,9.19645423126119
CUB,1990,10631799.0,68.8470940408536,8.36352303295411,10.8,73.364,107400.0,8.231829310397186
CUB,1995,10925362.0,69.037163253721,8.84435225121145,8.5,74.277,107400.0,7.805790779563837
CUB,2000,11109109.0,68.9200893122972,9.8186726684684,6.8,75.323,107400.0,7.019287803903125
CUB,2005,11262554.0,69.4932827847041,11.1548632752393,5.6,76.134,106440.0,6.229864147143776
CUB,2010,11297409.0,69.6395562911815,12.6387607990469,4.9,76.597,106440.0,5.509998756874415
CUW,1990,145400.0,65.3710201971883,6.85535782508612,15.7,84.678,444.0,9.535756099845464
CUW,1995,145139.0,64.6072989832506,7.67883163875108,14.9,87.68,444.0,8.413688699360339
CUW,2000,133860.0,64.323139453784,9.13566758401275,15.1,90.752,444.0,7.040880030086504
CUW,2005,137658.0,66.1417062644981,10.2182231533312,14.0,90.534,444.0,6.472916599295007
